time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,RSI,EMA_50,EMA_200,SMA_50,SMA_200,BB_upper,BB_lower,MACD,MACD_signal,ATR,VWAP
2024-11-28 23:30:00,96045.18,95687.23,95918.62,254.22,24369540.68,95757.2,direct,,,,,,,,,,,0.0,95757.2
2024-11-28 23:45:00,95757.42,95596.38,95757.2,208.66,19960226.7,95670.41,direct,,,,,,,,,,,0.0,95718.12133621088
2024-11-29 00:00:00,95722.33,95422.05,95670.41,412.07,39378010.95,95528.58,direct,,,,,,,,,,,0.0,95628.95685279375
2024-11-29 00:15:00,95724.69,95518.04,95528.58,255.28,24403590.35,95592.09,direct,,,,,,,,,,,0.0,95620.63503073138
2024-11-29 00:30:00,95844.47,95484.44,95592.09,296.87,28421286.08,95787.68,direct,,,,,,,,,,,0.0,95655.40790516319
2024-11-29 00:45:00,95851.32,95391.39,95787.68,327.4,31313857.49,95503.3,direct,,,,,,,,,,,0.0,95627.0302808591
2024-11-29 01:00:00,95674.31,95435.77,95503.3,287.41,27462556.61,95510.62,direct,,,,,,,,,,,0.0,95610.66174279407
2024-11-29 01:15:00,95815.87,95508.64,95510.62,264.74,25330461.48,95791.07,direct,,,,,,,,,,,0.0,95631.37346386594
2024-11-29 01:30:00,95805.74,95613.61,95791.07,205.86,19703109.23,95764.7,direct,,,,,,,,,,,0.0,95642.30347324508
2024-11-29 01:45:00,95991.09,95722.51,95764.7,265.72,25468166.88,95938.33,direct,,,,,,,,,,,0.0,95670.66670303619
2024-11-29 02:00:00,96641.57,95934.71,95938.33,637.45,61400361.16,96482.45,direct,,,,,,,,,,,0.0,95822.99581814952
2024-11-29 02:15:00,96539.55,96276.56,96482.45,497.08,47916811.27,96457.36,direct,,,,,,,,,,,0.0,95904.02605446761
2024-11-29 02:30:00,96851.57,96375.14,96457.36,420.41,40596678.99,96721.51,direct,,,,,,,,,,,0.0,95983.85565487259
2024-11-29 02:45:00,96887.41,96709.68,96721.51,393.98,38133306.01,96779.04,direct,,80.00685073388107,,,,,,,,,319.740714285716,96050.66732367725
2024-11-29 03:00:00,96838.19,96658.48,96779.04,328.24,31750311.03,96693.12,direct,,75.29260440548153,,,,,,,,,309.7385204081653,96092.67252282484
2024-11-29 03:15:00,96710.97,96461.7,96693.12,200.01,19311272.5,96520.9,direct,,66.79662215001711,,,,,,,,,305.4193403790109,96109.05061225737
2024-11-29 03:30:00,96756.14,96507.54,96520.9,121.78,11770096.68,96712.23,direct,,70.7460161666151,,,,,,,,,301.3608160662248,96122.79092966129
